,cod,message,coord,weather,base,main,visibility,wind,rain,clouds,dt,sys,timezone,id,name,snow
28,200,,"{'lon': -42.0278, 'lat': -22.9661}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 23.18, 'feels_like': 23.56, 'temp_min': 23.18, 'temp_max': 23.18, 'pressure': 1015, 'humidity': 77, 'sea_level': 1015, 'grnd_level': 1013}",10000.0,"{'speed': 5.25, 'deg': 250, 'gust': 6.97}",,{'all': 61},1619230380.0,"{'country': 'BR', 'sunrise': 1619168659, 'sunset': 1619209686}",-10800.0,3471451.0,Arraial do Cabo,
29,200,,"{'lon': -9.5, 'lat': 29.5833}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 15.08, 'feels_like': 14.81, 'temp_min': 15.08, 'temp_max': 15.08, 'pressure': 1012, 'humidity': 83, 'sea_level': 1012, 'grnd_level': 946}",10000.0,"{'speed': 3.04, 'deg': 330, 'gust': 4.78}",,{'all': 100},1619230327.0,"{'country': 'MA', 'sunrise': 1619244120, 'sunset': 1619291393}",0.0,2527087.0,Tiznit Province,
30,200,,"{'lon': -86.731, 'lat': 21.2311}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 27.01, 'feels_like': 29.22, 'temp_min': 26.67, 'temp_max': 27.22, 'pressure': 1014, 'humidity': 74}",10000.0,"{'speed': 5.14, 'deg': 120}",,{'all': 20},1619230381.0,"{'type': 1, 'id': 7177, 'country': 'MX', 'sunrise': 1619176876, 'sunset': 1619222924}",-18000.0,3526756.0,Isla Mujeres,
31,200,,"{'lon': -46.02, 'lat': -1.195}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 24.32, 'feels_like': 25.26, 'temp_min': 24.32, 'temp_max': 24.32, 'pressure': 1012, 'humidity': 94, 'sea_level': 1012, 'grnd_level': 1011}",10000.0,"{'speed': 2.52, 'deg': 73, 'gust': 5.38}",,{'all': 100},1619230381.0,"{'country': 'BR', 'sunrise': 1619168391, 'sunset': 1619211870}",-10800.0,3402648.0,Carutapera,
32,200,,"{'lon': 133.8833, 'lat': -23.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 22.27, 'feels_like': 21.47, 'temp_min': 21, 'temp_max': 23.33, 'pressure': 1023, 'humidity': 35}",10000.0,"{'speed': 5.66, 'deg': 90}",,{'all': 0},1619230128.0,"{'type': 1, 'id': 9483, 'country': 'AU', 'sunrise': 1619212899, 'sunset': 1619253798}",34200.0,2077895.0,Alice Springs,
33,200,,"{'lon': 114.6, 'lat': -28.7667}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 24, 'feels_like': 23.58, 'temp_min': 24, 'temp_max': 24, 'pressure': 1018, 'humidity': 43}",10000.0,"{'speed': 3.09, 'deg': 30}",,{'all': 0},1619230382.0,"{'type': 1, 'id': 9522, 'country': 'AU', 'sunrise': 1619217865, 'sunset': 1619258087}",28800.0,2070998.0,Geraldton,
34,200,,"{'lon': -15.8333, 'lat': 11.2833}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 25.27, 'feels_like': 25.71, 'temp_min': 25.27, 'temp_max': 25.27, 'pressure': 1010, 'humidity': 71, 'sea_level': 1010, 'grnd_level': 1007}",10000.0,"{'speed': 7.27, 'deg': 311, 'gust': 7.36}",,{'all': 43},1619230382.0,"{'country': 'GW', 'sunrise': 1619246837, 'sunset': 1619291716}",0.0,2374583.0,Bubaque,
35,200,,"{'lon': 161.3, 'lat': 68.75}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': -2.87, 'feels_like': -6.05, 'temp_min': -2.87, 'temp_max': -2.87, 'pressure': 1011, 'humidity': 88, 'sea_level': 1011, 'grnd_level': 1011}",2214.0,"{'speed': 2.19, 'deg': 71, 'gust': 2.6}",,{'all': 100},1619230157.0,"{'country': 'RU', 'sunrise': 1619195895, 'sunset': 1619257643}",39600.0,2126199.0,Cherskiy,
36,200,,"{'lon': -151.0167, 'lat': -16.7}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 26.66, 'feels_like': 26.66, 'temp_min': 26.66, 'temp_max': 26.66, 'pressure': 1011, 'humidity': 72, 'sea_level': 1011, 'grnd_level': 1011}",10000.0,"{'speed': 4.18, 'deg': 105, 'gust': 4.41}",{'1h': 0.39},{'all': 100},1619230383.0,"{'country': 'PF', 'sunrise': 1619194446, 'sunset': 1619236207}",-36000.0,4034496.0,Fare,
37,200,,"{'lon': -58.7368, 'lat': -38.5473}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 15.56, 'feels_like': 15.7, 'temp_min': 15.56, 'temp_max': 15.56, 'pressure': 1016, 'humidity': 97}",10000.0,"{'speed': 2.47, 'deg': 39, 'gust': 3.35}",{'1h': 1.06},{'all': 100},1619230383.0,"{'type': 3, 'id': 2010353, 'country': 'AR', 'sunrise': 1619173791, 'sunset': 1619212574}",-10800.0,3430443.0,Necochea,
